Sample Name	Run	Experiment	spots	bases	spots_with_mates	avgLength	size_MB	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	Platform	Model	SRAStudy	BioProject	Sample	BioSample
Dog-4	SRR095689	SRX039053	12844199	1644057472	12844199	128	957	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155764	SAMN00194147
Dog-4	SRR095690	SRX039053	15767635	2018257280	15767635	128	1459	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155764	SAMN00194147
Don-0	SRR095691	SRX039054	15490324	1982761472	15490324	128	1497	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155765	SAMN00194148
Don-0	SRR095692	SRX039054	10843126	1387920128	10843126	128	766	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155765	SAMN00194148
Ey15-2	SRR095693	SRX040792	10173823	854601132	10173823	84	703	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155766	SAMN00194149
Ey15-2	SRR095694	SRX039055	19552531	2502723968	19552531	128	1935	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155766	SAMN00194149
Fei-0	SRR095695	SRX040767	5222055	438652620	5222055	84	306	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155767	SAMN00194150
Fei-0	SRR095696	SRX040767	7853942	659731128	7853942	84	498	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155767	SAMN00194150
Fei-0	SRR095697	SRX039056	13764141	1761810048	13764141	128	1367	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155767	SAMN00194150
HKT2.4	SRR095698	SRX040768	12735393	1069773012	12735393	84	884	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155768	SAMN00194151
HKT2.4	SRR095699	SRX039057	18826000	2409728000	18826000	128	1917	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155768	SAMN00194151
ICE1	SRR095739	SRX040799	12703371	1067083164	12703371	84	901	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155769	SAMN00194152
ICE1	SRR095742	SRX039076	16276857	2083437696	16276857	128	1609	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155769	SAMN00194152
ICE102	SRR095700	SRX040759	14060200	1181056800	14060200	84	958	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155770	SAMN00194153
ICE102	SRR095701	SRX039058	16885988	2161406464	16885988	128	1712	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155770	SAMN00194153
ICE104	SRR095702	SRX040769	13426520	1127827680	13426520	84	979	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155771	SAMN00194154
ICE104	SRR095703	SRX039059	21542204	2757402112	21542204	128	2283	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155771	SAMN00194154
ICE106	SRR095707	SRX040800	14857003	1901696384	14857003	128	1449	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155772	SAMN00194155
ICE106	SRR095704	SRX039060	7813300	656317200	7813300	84	528	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155772	SAMN00194155
ICE106	SRR095705	SRX039060	10498467	881871228	10498467	84	749	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155772	SAMN00194155
ICE106	SRR095706	SRX039060	21081794	1770870696	21081794	84	1436	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155772	SAMN00194155
ICE107	SRR095708	SRX040801	17298815	1453100460	17298815	84	1198	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155773	SAMN00194156
ICE107	SRR095709	SRX039061	19970429	2556214912	19970429	128	2062	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155773	SAMN00194156
ICE111	SRR095710	SRX040802	13275954	1115180136	13275954	84	965	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155774	SAMN00194157
ICE111	SRR095711	SRX039062	18980775	2429539200	18980775	128	2021	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155774	SAMN00194157
ICE112	SRR095712	SRX040770	11797650	991002600	11797650	84	830	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155775	SAMN00194158
ICE112	SRR095714	SRX039063	13358649	1709907072	13358649	128	1056	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155775	SAMN00194158
ICE119	SRR095716	SRX040771	13830219	1161738396	13830219	84	953	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155776	SAMN00194159
ICE119	SRR095717	SRX039064	15836849	2027116672	15836849	128	1554	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155776	SAMN00194159
