sample_accession	secondary_sample_accession	run_accession	fastq_ftp
SAMN00194160	SRS155777	SRR095719	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095719/SRR095719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095719/SRR095719_2.fastq.gz
SAMN00194161	SRS155778	SRR095720	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095720/SRR095720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095720/SRR095720_2.fastq.gz
SAMN00194161	SRS155778	SRR095721	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095721/SRR095721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095721/SRR095721_2.fastq.gz
SAMN00194162	SRS155779	SRR095722	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095722/SRR095722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095722/SRR095722_2.fastq.gz
SAMN00194162	SRS155779	SRR095723	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095723/SRR095723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095723/SRR095723_2.fastq.gz
SAMN00194163	SRS155780	SRR095724	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095724/SRR095724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095724/SRR095724_2.fastq.gz
SAMN00194163	SRS155780	SRR095725	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095725/SRR095725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095725/SRR095725_2.fastq.gz
SAMN00194164	SRS155781	SRR095726	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095726/SRR095726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095726/SRR095726_2.fastq.gz
SAMN00194164	SRS155781	SRR095727	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095727/SRR095727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095727/SRR095727_2.fastq.gz
SAMN00194165	SRS155782	SRR095728	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095728/SRR095728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095728/SRR095728_2.fastq.gz
SAMN00194165	SRS155782	SRR095729	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095729/SRR095729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095729/SRR095729_2.fastq.gz
SAMN00194166	SRS155783	SRR095730	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095730/SRR095730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095730/SRR095730_2.fastq.gz
SAMN00194166	SRS155783	SRR095731	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095731/SRR095731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095731/SRR095731_2.fastq.gz
SAMN00194167	SRS155784	SRR095732	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095732/SRR095732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095732/SRR095732_2.fastq.gz
SAMN00194167	SRS155784	SRR095733	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095733/SRR095733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095733/SRR095733_2.fastq.gz
SAMN00194168	SRS155785	SRR095734	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095734/SRR095734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095734/SRR095734_2.fastq.gz
SAMN00194169	SRS155786	SRR095735	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095735/SRR095735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095735/SRR095735_2.fastq.gz
